,columns,missing values count
0,Attr1,7
1,Attr2,7
2,Attr3,7
3,Attr4,73
4,Attr5,36
5,Attr6,7
6,Attr7,7
7,Attr8,59
8,Attr9,6
9,Attr10,7
10,Attr11,72
11,Attr12,73
12,Attr13,62
13,Attr14,7
14,Attr15,15
15,Attr16,60
16,Attr17,59
17,Attr18,7
18,Attr19,63
19,Attr20,62
20,Attr21,6176
21,Attr22,7
22,Attr23,62
23,Attr24,453
24,Attr25,7
25,Attr26,60
26,Attr27,1282
27,Attr28,274
28,Attr29,7
29,Attr30,62
30,Attr31,62
31,Attr32,151
32,Attr33,73
33,Attr34,59
34,Attr35,7
35,Attr36,7
36,Attr37,9561
37,Attr38,7
38,Attr39,62
39,Attr40,73
40,Attr41,346
41,Attr42,62
42,Attr43,62
43,Attr44,62
44,Attr45,776
45,Attr46,75
46,Attr47,124
47,Attr48,8
48,Attr49,62
49,Attr50,59
50,Attr51,7
51,Attr52,124
52,Attr53,274
53,Attr54,274
54,Attr55,1
55,Attr56,62
56,Attr57,4
57,Attr58,38
58,Attr59,4
59,Attr60,780
60,Attr61,54
61,Attr62,62
62,Attr63,73
63,Attr64,274
